epoch,train_l1_loss,epoch_time_seconds,peak_gpu_memory_gb,samples_this_epoch
1,0.026039708335883916,255.42675750000126,0.42154359817504883,4160
2,0.02169659567746119,236.66044789999796,0.23194217681884766,4160
3,0.020493647217965472,256.7478278999988,0.23194217681884766,4160
4,0.020715160549689946,268.5956830000032,0.23194217681884766,4160
5,0.02038134709179688,300.17934219999734,0.23194217681884766,4160
6,0.02011682983272924,264.8989976999983,0.22889041900634766,4160
7,0.02015425739093469,254.49128760000167,0.22889041900634766,4160
8,0.02001865681153364,257.7762083999987,0.22889041900634766,4160
9,0.019982963975948783,376.15146630000163,0.22889041900634766,4160
10,0.019762483869607633,288.04278749999867,0.22889041900634766,4160
11,0.019698960799723865,299.82963200000086,0.22889041900634766,4160
12,0.019636522486017875,287.02602750000005,0.22889041900634766,4160
13,0.019446455304009413,266.8258867000004,0.22889041900634766,4160
14,0.019464267124063694,268.8918150999998,0.22889041900634766,4160
15,0.01943310256331013,281.1474186999985,0.22889041900634766,4160
16,0.019306850395738505,273.24786289999975,0.22889041900634766,4160
17,0.01920710409489962,275.3917589999983,0.22889041900634766,4160
18,0.019305084835594663,277.02268410000033,0.22889041900634766,4160
19,0.019249677292716046,285.7961200999998,0.22889041900634766,4160
20,0.019256845310043832,291.7634564,0.22889041900634766,4160
21,0.019382176831221353,276.98195040000064,0.22889041900634766,4160
22,0.019202308188407468,316.9327615000002,0.22889041900634766,4160
23,0.019286950083019644,289.88365260000137,0.22889041900634766,4160
24,0.019234001446658603,282.80849410000155,0.22889041900634766,4160
25,0.019103144521180254,286.87529820000054,0.22889041900634766,4160
26,0.019219041875420284,295.6769017000006,0.22889041900634766,4160
27,0.01920547193596856,275.1081543,0.22889041900634766,4160
28,0.019169038546701465,304.74174309999944,0.22889041900634766,4160
29,0.01915550340826695,269.6868676999984,0.22889041900634766,4160
30,0.01912325577488026,275.7689573000025,0.22889041900634766,4160
31,0.019124344904692128,288.6330586999975,0.22889041900634766,4160
32,0.019086096306832938,294.2332975999998,0.22889041900634766,4160
33,0.01921298977954743,280.54776239999774,0.22889041900634766,4160
34,0.01913586983887049,315.3205483999991,0.22889041900634766,4160
35,0.019082166730927733,296.62308610000036,0.22889041900634766,4160
36,0.019129446415732113,295.9406791000001,0.22889041900634766,4160
37,0.019131603287174725,312.2596659000046,0.22889041900634766,4160
38,0.019016252633614037,313.05790060000436,0.22889041900634766,4160
39,0.019051853431245457,337.34913909999887,0.22889041900634766,4160
40,0.019052935140923814,319.5320378000033,0.22889041900634766,4160
41,0.01905726104652366,288.60433110000304,0.22889041900634766,4160
42,0.019090997416955923,305.5703807000027,0.22889041900634766,4160
43,0.018991231861022802,356.37234940000053,0.22889041900634766,4160
44,0.018977721334578326,351.11700750000455,0.22889041900634766,4160
45,0.019003146675486977,327.29075079999893,0.22889041900634766,4160
46,0.01900070488560372,299.23290680000355,0.22889041900634766,4160
47,0.018961894349195065,371.2743647000025,0.22889041900634766,4160
48,0.01901838494679676,286.4817570000014,0.22889041900634766,4160
49,0.018977448150802118,304.4620165000015,0.22889041900634766,4160
50,0.018924899429727634,293.90740509999887,0.22889041900634766,4160
